extensions,data.gov.ie,data.london.gov.uk
arcgis_dcat_harvester,1.0,
ckan_harvester,1.0,
cork_city_ckan_harvester,1.0,
datapusher,1.0,
datarequests,1.0,
datastore,1.0,
datastore_cleanup,1.0,
datatables_view,1.0,
dcat,1.0,
dcat_json_interface,1.0,
dcat_rdf_harvester,1.0,
dgi_ckan_harvester,1.0,
dgi_gemini_harvester,1.0,
dgithree,1.0,
dietstars,1.0,
dublinked_ckan_harvester,1.0,
dx_stats,1.0,
gemini_csw_harvester,1.0,
geo_view,1.0,
geojson_view,1.0,
harvest,1.0,
hplg_dcat_json_geospatial_harvester,1.0,
hplg_dcat_json_harvester,1.0,
hse_ckan_harvester,1.0,
image_view,1.0,
impactstories,1.0,
isde_harvester,1.0,
jsonstat_view,1.0,
likes,1.0,
officedocs_view,1.0,
pages,1.0,
pdf_view,1.0,
recline_graph_view,1.0,
recline_map_view,1.0,
resource_proxy,1.0,
scheming_datasets,1.0,
scheming_organizations,1.0,
showcase,1.0,
shp_view,1.0,
spatial_metadata,1.0,
spatial_query,1.0,
sqlalchemythread,1.0,
stats,1.0,
text_view,1.0,
tusla_ckan_harvester,1.0,
webpage_view,1.0,
wmts_view,1.0,
ytp_comments,1.0,
datapress,,1.0
